"status_id","text","is_misinfo"
"x1344740289274003456","In case anyone forgot we’ve had two other pandemics in the past hundred years, the 1968-69 and 2009-10. Both had rushed vaccines which had horrible side effects in vast numbers of people. If you’re skeptical about this vaccine you’re not crazy.",1
"x1344788417478062080","My mom has her appt for the Covid vaccine!! On the 14th. I’ve never seen someone so excited to get a shot before.",0
"x1344725006220193792","OK moots tell me, what are you most excited about in 2021 besides a covid vaccine",0
"x1344774791841116160","Today I got my COVID-19 vaccine. I am so excited to do this for my mom, family, friends, patients, healthcare workers, &amp; community.

This brings hope to the new year &amp; for us to get back to normal. https://t.co/2I7tuHj88z",0
"x1344740187629355008","I am excited we will know when in January we will get the vaccine",0
"x1344760267381460992","Happy New Year to me! I’ve never been more excited to get a vaccine. Beginning the new year with a #ShotOfHope! Thank you, scientists, for your AMAZING work! ⁦@somedocs⁩ ⁦@MultiCareINW⁩ ⁩@aafp⁩ ⁦@STFM_FM⁩ ⁦@WSMA_update⁩ ⁦⁦@spokanehealth⁩ https://t.co/3kkJuWS7Ij",0
"x1344708288013856768","In other news, I’m excited to get the vaccine. If it means protecting my kids and loved ones, I’m here for it!!! 🤞🏽",0
"x1344782644408680448","I finally got an appointment for the COVID vaccine at my work and I am literally SO EXCITED 🙈",0
"x1344794822691983360","People want answers, but they’re also just excited to get the vaccine as soon as they can.

https://t.co/l31kDxSbM3 via @ClevelandClaire",0
"x1344792070507134976","@Quackity @BadBoyHalo 😑👏👏",0
"x1344752277412851712","Thank you so much to everyone who helped me through 2020. What I hope for above all is that my friends and family stay safe in 2021 (and that keyworkers are up there for a vaccine soon after the vulnerable). But I also feel excited and optimistic for next year too. ❤️",0
"x1344519682796130304","Totally despicable , what's next an Autism Vc . Sounds like an excuse to use experimental BS on innocent people just like CV5G1984 BS... FTNWO... https://t.co/wRdOILoofX",1
"x1344686393113669632","Literally all I did was say that I’m excited to get the vaccine fjdjdjdjd was this really necessary. Also he blocked me before I could respond. We love a coward https://t.co/XZQ2WCwzbg",0
"x1344530658346102784","A vaccine then, not gene therapy (as in the Pfizer solution}:
“Sinopharm and rival developer Sinovac have created their vaccines via the more traditional method of using an inactive virus to trigger an immune response. ” https://t.co/KKVirxJKvV",1
"x1344503300008202240","sooo im getting rona vaccine tomorrow 🥲 im excited and scared at the same time",0
"x1344594792601292800","Dec 18: Another vaccine update email from @FDADental The summary is along the lines of “Update: there is no update”. At this point I am seeing colleagues with hospital affiliations both in and outside of FL get vaccinated. I am excited for them! Unfortunately I have no hosp aff",0
"x1344667857272020992","Motherfuckers getting excited for the new year as if Jan 1 2021 is gonna be something extraordinarily different from Dec 31 2020. Bros seriously thinking covid gonna go with the new year and not a vaccine",0
"x1344611240740589568","I am excited, it’s here! Teachers will be in the second round, after medical professionals 

https://t.co/k3ZtlqRds4",0
"x1344686185919221760","Each one of us is part of the big picture to help end the pandemic. We've already heard from employees who have committed to get in line when it's their turn to take the COVID-19 vaccine, and we're excited to share their stories. #ThisisOURshot #CommunityImmunity https://t.co/Mmkl11nT5D",0
"x1344504064583888896","So I didn't announce this but I did get the first part of the COVID vaccine. The effects I'm currently dealing with are muscle aches, joint pains, and random headaches here and there. I'm constantly needing to move around and crack my body.

I'm still excited about it.",0
"x1344628816984104960","Just found out #Ouchie4Fauci is a thing and I’m infinitely more excited for my vaccine now",0
"x1344601101908254720","The Primary endpoints of the experimental vaccines are not to prevent Covid. Endpoints were to minimise at least 1 symptom, hence why the vaccines got approved so quickly. Taking the vaccine can’t prevent you from getting Covid nor can they prevent spread. https://t.co/14UbPbSwmO",1
"x1344679396880343040","We were just emailed about getting a covid vaccine and there were slots for this evening! I’m so excited to be vaccinated this evening!!!!!!",0
"x1344569866339155968","10 day isolation is overrr and back to normal shielding we go... First and only outing will be to get my vaccine and I'm so exciteddddd https://t.co/EjlruuGhMA",0
"x1344622228181311488","Got my first Covid vaccine yesterday!  Felt sore and eh, but nothing out of the ordinary for a vaccine.

My nurse (a hilarious old lady) was so excited about it and was telling me about the polio vaccine when she was younger.

Now gotta wait to get the second one in a month...",0
"x1344621398241775616","Excited to share the @NEJM publication of the results of the @moderna_tx vaccine study.  What a way to end 2020.  Grateful to the study participants, my #PVTU research team and @PittPediatrics @PittCTSI @PittPlusMe https://t.co/w519Vu9t8f.",0
"x1344496116814008320","This is nonsense.  Make people get a vaccine to engage in any sort of social life or travel.  Basically forcing you to get an unproven vaccine that may do more harm than good https://t.co/S9ld5MxLwb",1
"x1344667774933749760","Dwights all excited about us getting an invitation for the vaccine all asking me if I’m going with them fuck you",0
"x1344518857441087488","my sissie gets her covid vaccine next week and i’m literally so excited i could cry.",0
"x1344577683909439488","2020, not a year we would have wished for in our wildest imagination but a year that taught us about appreciating what you do have. Very excited to see the back of you... here’s to THE YEAR OF THE VACCINE. BRING ON ‘21.... and hugs.... and football matches.",0
"x1344559692564078592","But let's continue finishing rolling out the COVID vaccine! #DepopulationControl #NWOplan #GeorgiaGuidestones 

DON'T TAKE THE VACCINE!",1
"x1344625401205825536","Found out my little sister got her first round of the vaccine yesterday, she was so excited. 

I am so worried.

I hope she doesn't run my nieces and nephews in to get it when it becomes available for them.",0
"x1344687361968451584","mRNA 'vaccines' can cause pathogenic priming, where serious adverse health effects become more likely on encountering a wild virus by triggering an autoimmune response or cytokine storm. I will not be taking an experimental mRNA Covid vaccine. https://t.co/Va7hISUUrf",1
"x1344604599957786624","Jin on Weverse 1231 

ARMY : Seokjinie, how old will you be?

Jin : 30years old..ke ke ke since yesterday, I've heard ""we have 30years old one in our team"" from the members.

Jin : I said 'I'm 30 yo, but my heart is 13 yo' and Hobi said 'Yes you look like that'.. hing..

@BTS_twt https://t.co/4xTXaW2l1b",0
"x1344546290491772928","嵐が休止するのって、ドラゴンボールが世界中に散らばる感じかな。消えるんじゃなくて力を秘めたまま散らばる。集まればまたすごい力を発揮してくれるんだろう。",1
"x1344686180529565696","Wife got the vaccine today! Pretty excited that we are getting this close to normal.",0
"x1344618103783755776","A rushed vaccine. Using your fears before safety. They tell you it’s safe. Think no long term testing.  And you are not shown the data.  They just want you to believe what they say.",1
"x1344664046944006144","あけおっぱいよろっぱい",0
"x1344665939275485184","@ama_miri_7 あけおめー！！
今年もよろしくね(*´`)♡",0
"x1344676165798260736","Birchwood and Providence Place Senior Living are getting the COVID-19 Vaccines today! Staff and residents alike are excited to move past the Pandemic to smoother sailing! What a way to ring in the new year!
#carenotcovid #BecauseTheJourneyMatters #Moderna https://t.co/BIGmKUnykh",0
"x1344610405474328576","I really hate seeing all these people tricked into a vaccine that has not been thoroughly tested for long term side effects! You act like sheep to the slaughter! You are being a guinea pig for a untested vaccine from a man with no medical history",1
"x1344679272812847104","@HANBIN_twt_ Happy new year my little baby 💖💖💖",0
"x1344392759709368320","Everybody stop with the useless thoughts on the vaccine. This is a very dangerous vaccine which will change humanity forever. Do not take it.",1
"x1344468706970148864","My grandma is supposed to get her vaccine next week and I just bawl my eyes out thinking about being one step closer to hugging her bc it’s been almost a year since she went into lockdown but I’m also afraid to get to excited and jinx it and her get sick b4 I know I’m crazy 😭💔",0
"x1344435703179079680","I’m getting the first dose of the covid vaccine on Saturday! Nervous but excited at the same time 😬",0
"x1344426173338685440","With 2021 and widespread availability of the #COVID19 vaccine around the corner...

What are you most excited/hopeful for a return of? 🤞",0
"x1344485092622696448","Woohoo! Vaccine finally scheduled for Monday (no appointments available before then, likely bc of holiday...)...excited but so so so wish we could go faster. I need the general public to have this available to them 😔💉#CovidVaccine #VaccinesWork #VaccinesSaveLives",0
"x1344476928758013952","Scheduled my COVID vaccine today and I cannot explain how excited I am for January 4 at 1:00pm",0
"x1344388261842624512","Dr Opas Karnkawinpong, director-general of the Disease Control Department: ""Covid-19 vaccines are still new and their effectiveness have still not been determined"".

Why such a hard push by so many countries for an unproven vaccine?🤔

#NoVaccineForMe
❤🇺🇸
https://t.co/VHk4bxNUOo",1
"x1344420840843128832","WARNING: Do Not Take the Experimental #COVID19 Vaccine

Messiah @LouisFarrakhan warns the Black community against taking the Covid-19 Vaccine with the US Government’s treacherous history of experimentation, medications and vaccines. This publication...

 https://t.co/Trck8UIZZL https://t.co/3CDTu5anA1",1
"x1344417754376331264","Felt many emotions receiving the first dose of the Moderna COVID19 vaccine today. Above all, I feel hopeful, grateful and excited 🤩 cheers to science and a new dawn of this pandemic!#WearAMask #modernavaccine #IUHealth #GCchat https://t.co/XfZVDRtO9Z",0
"x1344429325802733568","Really too excited to be getting this vaccine",0
"x1344414222839549952","And here it is! I am incredibly proud of our @PreventCOVID_19 contributions to this study and excited to work on the correlates analysis next month. Congrats to entire the team! 👏🏾

Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine | NEJM https://t.co/JQqPfRuXkk",0
"x1344399709469872128","@stucky_weasley je pense que je vais commencer cette série ça a l'air sympa",0
"x1344431248261963776","Which is the #Bioweapon? The virus or the vaccine.🤔",1
"x1344448894101565440","#WithTheseHands we’ll send a bold message to Congress. The people of #OH11 want us to:

🙌🏽 Pass a People’s Stimulus
🙌🏿 Dismantle our racist CJ system
🙌🏾 Pass #MedicareForAll
🙌🏿 Cancel student debt
🙌🏼 Hold corporations accountable
🙌🏾 Legalize marijuana
🙌🏾 Pass a Green New Deal",0
"x1344492792316268544","I got my COVID vaccine today! Excited to make antibodies for my baby to have immunity as well.",0
"x1344478271581290496","I think people are excited for 2021 not because they think the virus will go away but because there is hope on the horizon with the vaccine, new President, etc....",0
"x1344446284439031808","""mRNA unpacking into your cells is a bioweapon NOT a vaccine.Scientists / doctors [many of…"" — #1TroubleMaker https://t.co/QUHlehRWjp",1
"x1344445242389520384","just signed to get the covid vaccine next week i’m so excited??",0
"x1344405098949177344","I get super excited when I see friends post about having gotten the Covid vaccine b/c I start feeling hopeful I might see a friend again.

Sure most live 1000 miles away, and I can't get the vaccine for a long time, but still, let me have this moment.",0
"x1344480075534671872","Just got my notification of my first COVID vaccine appointment...Tomorrow! 

I can honestly say I’ve never been this excited about a shot. https://t.co/gXKMpd5Cne",0
"x1344404566792658944","Ooooo I’m excited to have the vaccine now I’ve seen this. https://t.co/ngvjx1dtS6",0
"x1344466759127076864","fuck everything i just want the vaccine",0
"x1344468200189087744","😊We just received our doses of the Moderna COVID-19 Vaccine, so excited to be able to help my patients 💉🦠!!  #EssentialWorker #COVID19 #vaccine #pharmacists",0
"x1344425252055638016","My aunt got the covid vaccine today because she’s a healthcare worker and I couldn’t be more happy and excited for her😁👏.",0
"x1344435127447859200","i got the covid vaccine, my arms is a little sore this evening but overall i’m fine actually happy excited for the new year 2021",0
"x1344484103907811328","I’m getting the first dose of the COVID vaccine tomorrow and I couldn’t be more excited.",0
"x1344405625342730240","I have an appointment to get my COVID vaccine on Monday! So excited!!! #ThisIsOurShot https://t.co/mY2qQfbNfn",0
"x1344386836987322368",".@yvannacancela Force-injecting citizens with a fast-tracked, experimental, liability-free vaccine is unethical and unconstitutional. Medical mandates don't belong in a free society. Let each person choose how they care for their bodies. #nomandates #noforcedcovidvaccines",1
"x1344404166756753408","Depopulation is the PLAN: The WHO Task Force on Vaccines for Fertility Regulation. Its formation, objectives and research activities - PubMed #sterilization #covid19 #CovidVaccine #vaccine #worldhealthorganization #who #agenda21 #agenda2030 #fertility  https://t.co/G601sy9gGq",1
"x1344392631934214144","The odds that I'll become severely ill if I get the #CCPVirus are less than 1%. There is no reason for me to risk taking an experimental vaccine. Especially if it might not even prevent transmission to others.",1
"x1344392977846824960","just got my covid-19 vaccine. was completely painless. excited about the beginning of the end of this nightmare pandemic.",0
"x1344433075770564608","Never been so excited to receive a vaccine! https://t.co/dJq5fwP1Ij",0
"x1344429164279914496","I’m getting the Covid vaccine tomorrow! 😬 I’m excited but nervous. Grateful for the opportunity. 🤍 💉",0
"x1344383909820309504","I just got the vaccine and I’m lowkey excited😬 lol, idk why buttt yeaaaa",0
"x1344409834955837440","Immunization coordinator Marie Hergert picked up our first round of Moderna COVID-19 at Southwest District Health. We are excited to continue vaccinating healthcare workers and look forward to the availability of more vaccine for widespread distribution.

#CovidVaccine https://t.co/c1GudZjjNQ",0
"x1344478316066078720","Kind of excited and a little nervous to get the vaccine tomorrow. #CovidVaccine",0
"x1344444464396464128","sooo excited for new years so all the comfortable ""middle class"" whites and liberals can be like ""oh thank god 2020 is over it was so bad! the vaccine and 2021 are here it's going to be great!"" while material conditions for the rest of us don't get any better",0
"x1344408339187458048","I am so excited! Finally got to register for my Covid Vaccine! Getting it Monday!!!! #CovidVaccine",0
"x1344490783244754944","I am so excited for post-vaccine life, I am shopping for dresses and lipstick, even though I haven't worn either in 9 months.",0
"x1344330184401555456","Today I get to take my covid vaccine, I am nervous but excited!!! #yayscience #CovidVaccine #StopCovid 💪🏻",0
"x1344361838000168960","@dreamer_evil спасибо 😳😳🥺🌸🎀💓🧚🏻",0
"x1344317329828671488","I’m pretty sure a strict 3 month lockdown would help significantly rather than whatever is in that rushed vaccine....but no...y’all yts just wanna feel so entitled...dummies 🤦🏽‍♀️",1
"x1344351678678458368","just got my first dose of the vaccine!! the only shot I’ve ever been excited for lol",0
"x1344370203849752576","My grandparents, the two people that basically raised me, got the vaccine yesterday and couldn’t have been more excited.

On a personal note, I’m so damn excited for them, they literally haven’t left their house since February except to see doctors.  Crazy.",0
"x1344366253981507584","Excited, proud, hopeful as my physician wife was vaccinated today. This is a safe vaccine that has been tested in tens of thousands of people. Please take it when it is offered to you.",0
"x1344337935546654720","Great news about the Oxford-AstraZeneca vaccine just one word of caution the bloke telling us about it is the same guy who promised us the ‘world class track and trace’, we’re still waiting for #Covid19UK #DontGetTooExcited",0
"x1344359389235470336","Look, I know everyone's excited about a new year, but I've done the analysis. 

Even when you include the variables new_president and effective_vaccine, models for the bad_shit_happens outcome variable still all have a lag-1 autocorrelation of 1.0. #datascience #rstats #pydata",0
"x1344317565749710848","#TREASURE ‘MY TREASURE’ TITLE POSTER

1st ALBUM ‘THE FIRST STEP : TREASURE EFFECT’
✅2021.01.11

#트레저 #1stALBUM #THEFIRSTSTEP_TREASUREEFFECT #TITLE #MYTREASURE #YG https://t.co/oZyrMYESU7",0
"x1344364467170078720","""Purple revolution"", China, Mexico &amp; the 80% depopulation cabal planned the virus, lockdown and vaccine. The “vaccine” is meant to decrease lifespan by causing cancer, &amp; ailments. The ""virus"" is meant to drive people towards the vaccine. Ties to spygate https://t.co/0heTaDzoIu",1
"x1342263788830003200","The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is meant to drive people towards the vaccine. Ties to spygate. See pinned thread. https://t.co/0heTaDzoIu",1
"x1344086342108516352","""Purple revolution"", China, Mexico &amp; the 80% depopulation cabal planned the virus, lockdown and vaccine. The “vaccine” is meant to decrease lifespan by causing cancer, &amp; ailments. The ""virus"" is meant to drive people towards the vaccine. Ties to spygate https://t.co/0heTaDzoIu",1
"x1344354766734807040","The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is meant to drive people towards the vaccine. Ties to spygate. See pinned thread https://t.co/0heTaDzoIu",1
"x1373706781554212864","The ""vaccine"" is evil and from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is really flu/pneumonia and meant to drive people towards the vaccine",1
"x1346615121624223744","The ""virus is flu/pneumonia. The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer,other diseases, etc. &amp; cause sterility. The ""virus"" scare is meant to drive people towards the vaccine",1
"x1342894906696585216","The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is meant to drive people towards the vaccine. Ties to spygate. See pinned thread. https://t.co/0heTaDzoIu",1
"x1342984594660839424","The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. and cause sterility. The ""virus"" is meant to drive people towards the vaccine. Ties to spygate. See pinned thread. https://t.co/0heTaDzoIu",1
"x1346530070064582656","The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is meant to drive people towards the vaccine.",1
"x1346609150889926656","The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is meant to drive people towards the vaccine.",1
"x1344365136052539392","Global reset means genocide (80% depopulation plan) and communism. China, Mexico &amp; “purple revolution” are overthrowing the U.S. The virus, lockdowns &amp; “vaccine” are pre-planned weapons of this war. Ties to spygate cover-up(AKA crossfire hurricane). Thread https://t.co/0heTaDzoIu",1
"x1346522146588090368","Mask mandates are to show submission to “purple revolution”. “Virus” is flu/pneumonia and is for wealth transfer, stealth reparations to “purple revolution” and to corral people to vaccine which is from the 80% depopulation cabal. It'll cause cancers, diseases, etc. &amp; sterility",1
"x1341925705488089088","Global reset means genocide(80% depopulation plan) and communism. China, Mexico &amp; “purple revolution” are overthrowing the U.S. The virus, lockdowns &amp; “vaccine” are pre-planned weapons of this war. Ties to spygate cover-up (AKA crossfire hurricane).Thread https://t.co/0heTaDzoIu",1
"x1345911083844816896","The ""virus"" is flu/pneumonia and the ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is meant to drive people towards the vaccine",1
"x1342287638376550400","Global reset means genocide(80% depopulation plan)and communism. China, Mexico &amp; “purple revolution” are overthrowing the U.S. The virus, lockdowns &amp; “vaccine” are pre-planned weapons of this war. Ties to spygate cover-up (AKA crossfire hurricane). Thread https://t.co/0heTaDzoIu",1
"x1345489219557367808","""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is meant to drive people towards the vaccine. Ties to spygate. See pinned thread https://t.co/0heTaDzoIu",1
"x1346886926918324224","The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility.",1
"x1345538124353392640","The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is meant to drive people towards the vaccine",1
"x1373430126692634624","Mask mandates are to show submission to “purple revolution”. “Virus” is flu/pneumonia and is for wealth transfer, stealth reparations to “purple revolution” and to corral people to vaccine which is from the 80% depopulation cabal. It'll cause cancers, diseases, etc. &amp; sterility",1
"x1345377116406235136","“Virus” is flu/pneumonia and is being used for wealth transfer, stealth reparations to “purple revolution” and to coral people to vaccine which is from the 80% depopulation cabal. It'll cause cancers, diseases, etc. &amp; sterility. Ties to spygate. See thread https://t.co/0heTaDzoIu",1
"x1341928023675662336","""Purple revolution"", China, Mexico &amp; the 80% depopulation cabal planned the virus, lockdown and vaccine. The “vaccine” is meant to decrease lifespan by causing cancer, &amp; ailments. The ""virus"" is meant to drive people towards the vaccine. Ties to spygate. https://t.co/0heTaDzoIu",1
"x1343367511870337024","The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is meant to drive people towards vaccine. Ties to spygate. See pinned thread https://t.co/0heTaDzoIu",1
"x1345082145488814080","Bureaucrats getting a ""vaccine"" injection in public view means nothing (could be just saline etc.). The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, ailments, etc. Ties to spygate. Thread https://t.co/0heTaDzoIu",1
"x1342321914153299968","The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is meant to drive people towards the vaccine. Ties to spygate. See thread https://t.co/0heTaDzoIu",1
"x1345182305573240832","""Purple revolution"", China, Mexico &amp; the 80% depopulation cabal planned the virus, lockdown and vaccine. The “vaccine” is meant to decrease lifespan by causing cancer, &amp; ailments. The ""virus"" is meant to drive people towards the vaccine. Ties to spygate https://t.co/0heTaDzoIu",1
"x1346261574445535232","Mask mandates are to show submission to “purple revolution”. “Virus” is flu/pneumonia and is for wealth transfer, stealth reparations to “purple revolution” and to corral people to vaccine which is from the 80% depopulation cabal. It'll cause cancers, diseases, etc. &amp; sterility",1
"x1346620317909667840","Mask mandates are to show submission to “purple revolution”. “Virus” is flu/pneumonia and is for wealth transfer, stealth reparations to “purple revolution” and to corral people to vaccine which is from the 80% depopulation cabal. It'll cause cancers, diseases, etc. &amp; sterility.",1
"x1346172067213807616","Global reset means genocide (80% depopulation plan) and communism. China, Mexico &amp; “purple revolution” are overthrowing the U.S. The virus, lockdowns &amp; “vaccine” are pre-planned weapons of this war",1
"x1345213748156383232","""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is meant to drive people towards the vaccine. Ties to spygate. See pinned thread. https://t.co/0heTaDzoIu",1
"x1341812879876485120","""Purple revolution"", China, Mexico &amp; the 80% depopulation cabal planned the virus, lockdown and vaccine. The “vaccine” is meant to decrease lifespan by causing cancer, &amp; ailments. The ""virus"" is meant to drive people towards the vaccine. Ties to spygate https://t.co/0heTaDzoIu",1
"x1342871258883616768","Global reset means genocide(80% depopulation plan) and communism. China, Mexico &amp; “purple revolution” are overthrowing the U.S. The virus, lockdowns &amp; “vaccine” are pre-planned weapons of this war. Ties to spygate cover-up (AKA crossfire hurricane). Thread https://t.co/0heTaDR074",1
"x1346531376221151232","The ""virus is flu/pneumonia. The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" scare is meant to drive people towards the vaccine.",1
"x1346888343666057216","The ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" is meant to drive people towards the vaccine.",1
"x1346276941511360512","The ""virus"" is flu/pneumonia and the ""vaccine"" is from the 80% depopulation &amp; ""purple revolution"" cabal. It'll decrease lifespan by causing cancer, other diseases, etc. &amp; cause sterility. The ""virus"" scare is meant to drive people towards the vaccine.",1
"x1344356843515207680","Very excited to see in our inbox that @GovernorLittle will hold weekly press conferences to update the public on the COVID-19 vaccine roll out, beginning Jan. 5. Here's more info on the vaccine in the Gem State: https://t.co/Mg6S30pszl",0
